,Customer ID,Gender,Region,Age,Product Name,Category,Unit Price,Quantity,Total Price,Shipping Fee,Shipping Status,Order Date,Recency,Frequency,Monetary,RFM_Score,Segment,Order Month,Order Year
65,CUST0083,Male,East,28.0,Monitor,Electronics,300.0,1,300,17.98,Returned,2024-01-03,1,3,1900,532,Loyal Customers,2024-01,2024
66,CUST0065,Female,East,49.0,Headphones,Accessories,100.0,2,200,13.06,Returned,2023-02-05,34,5,6500,444,Champions,2023-02,2023
67,CUST0096,Female,Unknown,61.0,Smartphone,Electronics,800.0,4,3200,11.79,In Transit,2023-02-07,301,2,7200,124,Needs Attention,2023-02,2023
68,CUST0060,Male,South,41.0,Keyboard,Accessories,50.0,4,200,19.12,Returned,2023-04-03,192,5,6900,144,At Risk,2023-04,2023
69,CUST0045,Male,East,21.0,Mouse,Accessories,30.0,1,30,6.17,In Transit,2023-10-23,1,4,3730,533,Loyal Customers,2023-10,2023
70,CUST0296,Female,North,50.0,Keyboard,Accessories,50.0,2,100,13.82,In Transit,2023-07-25,1,6,7130,554,Champions,2023-07,2023
71,CUST0261,Male,West,48.0,Laptop,Electronics,1500.0,5,7500,15.95,Returned,2023-10-01,56,2,7590,324,Big Spenders,2023-10,2023
72,CUST0077,Male,South,50.0,Keyboard,Accessories,50.0,5,250,10.89,Delivered,2023-03-19,252,4,2170,132,Needs Attention,2023-03,2023
73,CUST0227,Female,West,54.0,Keyboard,Accessories,50.0,4,200,9.22,Returned,2023-10-05,28,4,3350,443,Loyal Customers,2023-10,2023
74,CUST0284,Female,North,64.0,Keyboard,Accessories,50.0,3,150,17.76,In Transit,2023-04-11,156,5,2550,153,At Risk,2023-04,2023
75,CUST0245,Male,North,63.0,Mouse,Accessories,30.0,1,30,13.28,Returned,2023-09-11,8,3,1720,532,Loyal Customers,2023-09,2023
76,CUST0133,Female,North,47.0,Smartphone,Electronics,800.0,1,800,11.29,Returned,2023-10-28,22,7,11100,555,Champions,2023-10,2023
77,CUST0179,Male,North,45.0,Keyboard,Accessories,50.0,2,100,19.04,Delivered,2023-03-16,52,3,4500,333,Loyal Customers,2023-03,2023
78,CUST0022,Female,North,33.0,Smartwatch,Wearables,200.0,2,400,10.07,Delivered,2023-11-21,44,5,5930,444,Champions,2023-11,2023
79,CUST0269,Female,East,64.0,Laptop,Electronics,1500.0,5,7500,6.53,Returned,2023-12-03,32,4,10500,445,Champions,2023-12,2023
80,CUST0181,Male,East,59.0,Smartwatch,Wearables,200.0,3,600,9.82,In Transit,2023-02-08,73,2,1800,322,Needs Attention,2023-02,2023
81,CUST0170,Female,South,40.0,Mouse,Accessories,30.0,5,150,8.64,Delivered,2023-12-22,13,2,250,521,New/Promising,2023-12,2023
82,CUST0182,Male,West,49.0,Monitor,Electronics,300.0,5,1500,7.77,In Transit,2023-10-24,72,5,5080,353,Loyal Customers,2023-10,2023
83,CUST0219,Male,Unknown,48.0,Mouse,Accessories,30.0,2,60,7.4,Returned,2023-08-20,98,4,510,241,At Risk,2023-08,2023
84,CUST0037,Male,West,51.0,Keyboard,Accessories,50.0,4,200,11.41,Returned,2023-05-20,227,2,2600,113,Needs Attention,2023-05,2023
85,CUST0006,Female,West,52.0,Monitor,Electronics,300.0,3,900,5.66,Delivered,2023-02-18,109,6,10400,255,At Risk,2023-02,2023
86,CUST0125,Female,West,46.0,Mouse,Accessories,30.0,4,120,5.71,Delivered,2024-01-03,1,4,8720,545,Champions,2024-01,2024
87,CUST0006,Male,North,52.0,Smartwatch,Wearables,200.0,1,200,13.68,Delivered,2023-08-02,109,6,10400,255,At Risk,2023-08,2023
88,CUST0091,Female,South,30.0,Mouse,Accessories,30.0,1,30,18.29,In Transit,2023-04-19,21,6,7970,555,Champions,2023-04,2023
89,CUST0064,Male,North,61.0,Smartphone,Electronics,800.0,5,4000,6.31,Delivered,2023-06-29,68,7,14600,355,Loyal Customers,2023-06,2023
90,CUST0286,Female,North,63.0,Laptop,Electronics,1500.0,1,1500,13.15,Delivered,2023-03-08,289,2,1600,122,Lost,2023-03,2023
91,CUST0288,Male,West,55.0,Headphones,Accessories,100.0,2,200,16.23,Returned,2023-07-04,184,5,9750,155,At Risk,2023-07,2023
92,CUST0019,Female,East,69.0,Keyboard,Accessories,50.0,1,50,14.53,Returned,2023-04-23,58,4,3750,333,Loyal Customers,2023-04,2023
93,CUST0236,Male,East,18.0,Keyboard,Accessories,50.0,2,100,11.25,Returned,2023-03-24,138,3,7600,234,Needs Attention,2023-03,2023
94,CUST0159,Male,West,18.0,Keyboard,Accessories,50.0,5,250,11.11,Returned,2023-09-11,70,6,6650,354,Loyal Customers,2023-09,2023
95,CUST0251,Male,North,42.0,Mouse,Accessories,30.0,2,60,18.98,In Transit,2023-02-02,47,3,5460,434,Loyal Customers,2023-02,2023
96,CUST0159,Male,North,18.0,Headphones,Accessories,100.0,1,100,18.47,Delivered,2023-08-13,70,6,6650,354,Loyal Customers,2023-08,2023
97,CUST0064,Male,West,61.0,Monitor,Electronics,300.0,4,1200,18.5,Returned,2023-05-23,68,7,14600,355,Loyal Customers,2023-05,2023
98,CUST0099,Female,South,26.0,Laptop,Electronics,1500.0,4,6000,15.74,Returned,2023-08-12,90,2,6200,224,Needs Attention,2023-08,2023
99,CUST0228,Male,North,25.0,Smartphone,Electronics,800.0,4,3200,18.2,In Transit,2023-01-24,28,6,5370,454,Champions,2023-01,2023
100,CUST0024,Female,East,57.0,Smartwatch,Wearables,200.0,2,400,17.94,In Transit,2023-12-08,27,3,2500,422,New/Promising,2023-12,2023
101,CUST0113,Male,South,38.0,Smartphone,Electronics,800.0,2,1600,16.51,In Transit,2023-09-14,112,4,7800,245,At Risk,2023-09,2023
102,CUST0192,Female,North,58.0,Smartwatch,Wearables,200.0,4,800,9.97,Delivered,2023-11-12,1,3,980,532,Loyal Customers,2023-11,2023
103,CUST0153,Female,East,40.0,Monitor,Electronics,300.0,1,300,6.85,Returned,2023-06-21,44,3,860,431,Loyal Customers,2023-06,2023
104,CUST0057,Female,East,62.0,Keyboard,Accessories,50.0,5,250,14.04,Unknown,2024-01-03,1,2,450,511,New/Promising,2024-01,2024
105,CUST0192,Male,Unknown,58.0,Keyboard,Accessories,50.0,3,150,6.37,In Transit,2024-01-03,1,3,980,532,Loyal Customers,2024-01,2024
106,CUST0150,Female,North,63.0,Laptop,Electronics,1500.0,3,4500,18.66,Returned,2023-05-06,134,4,5950,244,At Risk,2023-05,2023
107,CUST0203,Male,South,33.0,Mouse,Accessories,30.0,1,30,7.78,In Transit,2023-01-03,91,5,12480,255,At Risk,2023-01,2023
108,CUST0163,Female,North,22.0,Headphones,Accessories,100.0,3,300,6.16,Returned,2023-10-12,84,1,300,311,Needs Attention,2023-10,2023
109,CUST0203,Female,East,33.0,Laptop,Electronics,1500.0,3,4500,6.92,Returned,2023-06-26,91,5,12480,255,At Risk,2023-06,2023
110,CUST0223,Female,Unknown,20.0,Mouse,Accessories,30.0,2,60,15.12,In Transit,2023-05-26,223,2,7560,124,Needs Attention,2023-05,2023
111,CUST0266,Male,North,49.0,Mouse,Accessories,30.0,5,150,16.86,Returned,2023-11-08,57,3,4350,333,Loyal Customers,2023-11,2023
112,CUST0227,Male,West,54.0,Smartphone,Electronics,800.0,3,2400,18.76,In Transit,2023-12-07,28,4,3350,443,Loyal Customers,2023-12,2023
113,CUST0289,Male,West,37.0,Laptop,Electronics,1500.0,5,7500,6.68,Delivered,2023-07-06,1,3,8620,535,Loyal Customers,2023-07,2023
114,CUST0046,Female,South,22.0,Laptop,Electronics,1500.0,3,4500,11.69,Delivered,2023-06-20,19,5,7760,545,Champions,2023-06,2023
115,CUST0173,Male,Unknown,65.0,Headphones,Accessories,100.0,1,100,19.28,Returned,2023-02-11,13,4,9250,545,Champions,2023-02,2023
116,CUST0008,Female,North,49.0,Headphones,Accessories,100.0,5,500,16.04,Delivered,2023-02-02,188,4,1370,132,Needs Attention,2023-02,2023
117,CUST0015,Male,West,58.0,Headphones,Accessories,100.0,3,300,6.08,Returned,2023-03-22,167,2,7800,115,Needs Attention,2023-03,2023
118,CUST0002,Male,East,23.0,Smartphone,Electronics,800.0,1,800,12.64,Returned,2023-09-10,116,3,1550,222,Lost,2023-09,2023
119,CUST0189,Female,South,38.0,Mouse,Accessories,30.0,1,30,10.92,Delivered,2023-02-22,169,4,5080,143,At Risk,2023-02,2023
120,CUST0137,Male,North,19.0,Smartphone,Electronics,800.0,3,2400,16.82,In Transit,2023-05-20,27,5,8700,455,Champions,2023-05,2023
121,CUST0139,Male,South,49.0,Smartwatch,Wearables,200.0,2,400,9.18,Delivered,2023-06-26,4,7,18350,555,Champions,2023-06,2023
122,CUST0033,Female,South,49.0,Monitor,Electronics,300.0,2,600,15.3,Delivered,2023-04-12,267,1,600,111,Lost,2023-04,2023
123,CUST0297,Male,North,61.0,Monitor,Electronics,300.0,2,600,13.84,In Transit,2023-10-10,86,2,1200,222,Lost,2023-10,2023
124,CUST0008,Female,North,18.0,Keyboard,Accessories,50.0,3,150,13.86,Delivered,2023-05-29,188,4,1370,132,Needs Attention,2023-05,2023
125,CUST0267,Male,North,29.0,Laptop,Electronics,1500.0,3,4500,14.23,Returned,2023-06-01,217,1,4500,113,Needs Attention,2023-06,2023
126,CUST0028,Male,Unknown,50.0,Smartwatch,Wearables,200.0,5,1000,6.09,In Transit,2023-08-22,58,7,4850,353,Loyal Customers,2023-08,2023
127,CUST0078,Female,North,38.0,Laptop,Electronics,1500.0,3,4500,19.98,In Transit,2023-05-10,9,4,5800,544,Champions,2023-05,2023
128,CUST0003,Male,North,63.0,Smartphone,Electronics,800.0,5,4000,11.1,In Transit,2023-11-06,59,3,4890,323,Needs Attention,2023-11,2023
129,CUST0049,Female,North,59.0,Laptop,Electronics,1500.0,1,1500,12.63,Returned,2023-02-06,39,2,2700,413,New/Promising,2023-02,2023
130,CUST0212,Female,North,49.0,Laptop,Electronics,1500.0,5,7500,10.18,In Transit,2023-11-18,47,4,10060,445,Champions,2023-11,2023
131,CUST0146,Male,North,47.0,Smartphone,Electronics,800.0,1,800,10.16,Unknown,2023-01-13,115,2,5300,224,Needs Attention,2023-01,2023
132,CUST0082,Female,Unknown,49.0,Smartwatch,Wearables,200.0,1,200,6.03,Returned,2023-04-21,31,3,4900,433,Loyal Customers,2023-04,2023
133,CUST0036,Female,North,33.0,Keyboard,Accessories,50.0,1,50,6.06,Delivered,2023-08-02,155,4,3900,233,Needs Attention,2023-08,2023
134,CUST0155,Female,North,41.0,Laptop,Electronics,1500.0,2,3000,9.21,Returned,2023-02-02,85,4,3800,343,Loyal Customers,2023-02,2023
135,CUST0138,Male,North,46.0,Keyboard,Accessories,50.0,3,150,5.09,Returned,2023-03-16,27,4,12350,445,Champions,2023-03,2023
136,CUST0201,Female,North,49.0,Mouse,Accessories,30.0,2,60,8.39,In Transit,2023-11-03,1,8,8460,555,Champions,2023-11,2023
137,CUST0197,Female,West,54.0,Mouse,Accessories,30.0,2,60,8.59,Delivered,2023-06-04,26,5,16150,455,Champions,2023-06,2023
138,CUST0082,Male,West,30.0,Laptop,Electronics,1500.0,1,1500,9.98,Delivered,2023-12-04,31,3,4900,433,Loyal Customers,2023-12,2023
139,CUST0091,Male,East,30.0,Laptop,Electronics,1500.0,5,7500,7.58,Delivered,2023-09-26,21,6,7970,555,Champions,2023-09,2023
140,CUST0066,Male,West,37.0,Laptop,Electronics,1500.0,2,3000,5.69,Returned,2023-01-18,1,6,5390,554,Champions,2023-01,2023
141,CUST0026,Female,East,27.0,Monitor,Electronics,300.0,1,300,16.61,In Transit,2023-11-23,42,2,4300,413,New/Promising,2023-11,2023
142,CUST0078,Female,West,38.0,Smartwatch,Wearables,200.0,4,800,18.89,Returned,2023-05-03,9,4,5800,544,Champions,2023-05,2023
143,CUST0281,Male,West,44.0,Keyboard,Accessories,50.0,4,200,19.81,In Transit,2023-08-27,38,8,17850,455,Champions,2023-08,2023
144,CUST0299,Male,West,58.0,Headphones,Accessories,100.0,5,500,14.5,Returned,2023-01-16,1,7,10060,555,Champions,2023-01,2023
145,CUST0053,Female,East,25.0,Smartwatch,Wearables,200.0,5,1000,16.41,In Transit,2023-07-25,45,5,7550,444,Champions,2023-07,2023
146,CUST0239,Male,North,35.0,Smartwatch,Wearables,200.0,1,200,7.32,Delivered,2023-11-18,47,4,3950,443,Loyal Customers,2023-11,2023
147,CUST0069,Male,East,49.0,Headphones,Accessories,100.0,3,300,10.81,Returned,2023-12-07,28,4,7700,435,Loyal Customers,2023-12,2023
148,CUST0245,Male,West,63.0,Mouse,Accessories,30.0,3,90,13.95,Returned,2023-05-15,8,3,1720,532,Loyal Customers,2023-05,2023
149,CUST0258,Female,South,39.0,Monitor,Electronics,300.0,4,1200,9.55,In Transit,2023-05-16,165,3,6000,134,Needs Attention,2023-05,2023
150,CUST0177,Male,South,29.0,Smartwatch,Wearables,200.0,3,600,13.87,In Transit,2023-03-18,292,3,1430,132,Needs Attention,2023-03,2023
151,CUST0140,Male,East,49.0,Headphones,Accessories,100.0,2,200,10.96,Delivered,2023-03-08,224,3,1090,132,Needs Attention,2023-03,2023
152,CUST0089,Female,North,27.0,Mouse,Accessories,30.0,3,90,6.45,In Transit,2023-09-19,107,2,990,222,Lost,2023-09,2023
153,CUST0168,Female,West,42.0,Smartphone,Electronics,800.0,2,1600,13.79,In Transit,2023-09-25,49,5,3250,453,Loyal Customers,2023-09,2023
154,CUST0176,Male,East,51.0,Laptop,Electronics,1500.0,3,4500,16.42,In Transit,2023-10-28,49,5,12400,455,Champions,2023-10,2023
155,CUST0089,Female,South,27.0,Monitor,Electronics,300.0,3,900,7.99,In Transit,2023-02-21,107,2,990,222,Lost,2023-02,2023
156,CUST0281,Female,West,44.0,Keyboard,Accessories,50.0,2,100,6.45,Returned,2023-08-28,38,8,17850,455,Champions,2023-08,2023
157,CUST0044,Male,East,30.0,Mouse,Accessories,30.0,5,150,16.62,Returned,2023-10-28,68,9,4550,353,Loyal Customers,2023-10,2023
158,CUST0137,Female,South,49.0,Monitor,Electronics,300.0,5,1500,6.0,Delivered,2023-11-08,27,5,8700,455,Champions,2023-11,2023
159,CUST0174,Female,East,68.0,Laptop,Electronics,1500.0,1,1500,16.34,Delivered,2023-05-07,23,7,5630,454,Champions,2023-05,2023
160,CUST0141,Female,East,58.0,Mouse,Accessories,30.0,1,30,12.22,In Transit,2023-10-03,93,2,1230,222,Lost,2023-10,2023
161,CUST0202,Male,South,56.0,Mouse,Accessories,30.0,3,90,5.07,Delivered,2023-01-05,1,4,5090,544,Champions,2023-01,2023
162,CUST0259,Male,West,59.0,Laptop,Electronics,1500.0,2,3000,7.5,Delivered,2023-08-22,48,3,3960,433,Loyal Customers,2023-08,2023
163,CUST0045,Female,East,21.0,Smartphone,Electronics,800.0,3,2400,15.78,Delivered,2023-11-07,1,4,3730,533,Loyal Customers,2023-11,2023
164,CUST0168,Female,West,42.0,Keyboard,Accessories,50.0,1,50,15.92,Delivered,2023-06-24,49,5,3250,453,Loyal Customers,2023-06,2023
165,CUST0027,Female,Unknown,36.0,Keyboard,Accessories,50.0,5,250,11.09,Returned,2023-06-06,80,3,6850,324,Big Spenders,2023-06,2023
166,CUST0228,Male,South,25.0,Mouse,Accessories,30.0,4,120,18.6,Returned,2023-06-29,28,6,5370,454,Champions,2023-06,2023
167,CUST0199,Female,South,41.0,Smartphone,Electronics,800.0,4,3200,16.45,In Transit,2023-01-18,1,6,6340,554,Champions,2023-01,2023
168,CUST0065,Male,North,41.0,Headphones,Accessories,100.0,5,500,19.62,Delivered,2023-03-04,34,5,6500,444,Champions,2023-03,2023
169,CUST0146,Female,East,47.0,Laptop,Electronics,1500.0,3,4500,8.87,Delivered,2023-09-11,115,2,5300,224,Needs Attention,2023-09,2023
170,CUST0093,Male,North,66.0,Monitor,Electronics,300.0,1,300,16.58,Delivered,2023-02-27,246,2,1800,122,Lost,2023-02,2023
171,CUST0168,Female,South,42.0,Monitor,Electronics,300.0,1,300,14.7,Delivered,2023-11-16,49,5,3250,453,Loyal Customers,2023-11,2023
172,CUST0216,Male,South,53.0,Smartphone,Electronics,800.0,2,1600,16.23,In Transit,2023-07-19,69,5,6010,354,Loyal Customers,2023-07,2023
173,CUST0062,Male,West,43.0,Headphones,Accessories,100.0,4,400,11.4,Returned,2023-04-24,63,3,1700,322,Needs Attention,2023-04,2023
174,CUST0125,Male,West,46.0,Smartphone,Electronics,800.0,5,4000,19.08,In Transit,2023-05-01,1,4,8720,545,Champions,2023-05,2023
175,CUST0060,Male,Unknown,41.0,Keyboard,Accessories,50.0,1,50,5.56,Delivered,2023-06-26,192,5,6900,144,At Risk,2023-06,2023
176,CUST0056,Female,South,23.0,Smartwatch,Wearables,200.0,2,400,5.73,Returned,2024-01-03,1,1,400,511,New/Promising,2024-01,2024
177,CUST0247,Male,South,44.0,Smartphone,Electronics,800.0,1,800,7.11,In Transit,2023-01-19,156,4,5600,144,At Risk,2023-01,2023
178,CUST0131,Female,East,67.0,Monitor,Electronics,300.0,1,300,15.92,Unknown,2023-05-03,48,8,21180,455,Champions,2023-05,2023
179,CUST0114,Female,West,60.0,Monitor,Electronics,300.0,3,900,18.61,In Transit,2023-07-21,145,3,3350,233,Needs Attention,2023-07,2023
180,CUST0082,Female,Unknown,49.0,Smartphone,Electronics,800.0,4,3200,13.77,Delivered,2023-10-11,31,3,4900,433,Loyal Customers,2023-10,2023
181,CUST0184,Female,West,54.0,Mouse,Accessories,30.0,3,90,14.78,Returned,2023-06-15,127,3,4890,233,Needs Attention,2023-06,2023
182,CUST0075,Female,South,56.0,Monitor,Electronics,300.0,2,600,13.6,Delivered,2023-08-16,141,2,750,221,Lost,2023-08,2023
183,CUST0142,Male,East,32.0,Monitor,Electronics,300.0,1,300,15.5,Delivered,2023-04-14,9,7,5150,554,Champions,2023-04,2023
184,CUST0076,Male,East,26.0,Headphones,Accessories,100.0,5,500,16.96,Delivered,2023-10-24,23,4,1930,432,Loyal Customers,2023-10,2023
